solver,num_measurements,seed,misfit,pde_err,reg,boundary,rmse,directional_rmse,angular_rmse_deg,config_id,config_label
weak_penalty,10,0,1.0,10.0,0.0001,1000.0,11.452513697787058,1.4308148382820907,106.01880313055679,24,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+03"
weak_penalty,10,0,1.0,10.0,0.01,10.0,0.45928045182734145,1.4816125047820927,109.38206517758832,25,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+01"
weak_penalty,10,0,1.0,10.0,0.01,100.0,0.2837357835759261,1.4868572923274415,110.15614311480732,26,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+02"
weak_penalty,10,0,1.0,10.0,0.01,1000.0,0.8334995682148415,1.341223110138766,97.00881967488434,27,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+03"
weak_penalty,10,0,10.0,0.1,1e-06,10.0,1.1703701422135844,1.417589262748402,104.24425255448512,28,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+01"
weak_penalty,10,0,10.0,0.1,1e-06,100.0,32.90855853443617,1.4059255339064036,103.14444408731424,29,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+02"
weak_penalty,10,0,10.0,0.1,1e-06,1000.0,1.1372555922967391,1.4022660088029046,101.8727079748974,30,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+03"
weak_penalty,10,0,10.0,0.1,0.0001,10.0,12.86576481806418,1.4653584988527044,108.42504273014922,31,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+01"
weak_penalty,10,0,10.0,0.1,0.0001,100.0,1.7238639352718537,1.450980076157851,107.33081076877411,32,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+02"
weak_penalty,10,0,10.0,0.1,0.0001,1000.0,50.157431089505124,1.453228024615486,107.1670655537565,33,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+03"
weak_penalty,10,0,10.0,0.1,0.01,10.0,0.16473693038283366,0.9104682096045931,69.45077506544376,34,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+01"
weak_penalty,10,0,10.0,0.1,0.01,100.0,0.1647704006029863,0.9108503943449775,69.49924173861733,35,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+02"
weak_penalty,10,0,10.0,0.1,0.01,1000.0,0.16477376233754204,0.9108850213850354,69.50479525941493,36,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+03"
weak_penalty,10,0,10.0,1.0,1e-06,10.0,0.5875852627217898,1.3214911166822223,95.82367302638568,37,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+01"
weak_penalty,10,0,10.0,1.0,1e-06,100.0,0.8411701116989255,1.3315077793031092,96.70582312199002,38,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+02"
weak_penalty,10,0,10.0,1.0,1e-06,1000.0,39.36929065510837,1.3765142649064395,100.50057986909917,39,"m=1e+01, pde=1e+00, reg=1e-06, bc=1e+03"
weak_penalty,10,0,10.0,1.0,0.0001,10.0,5.155471112490664,1.4580979946533537,107.59965475622491,40,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+01"
weak_penalty,10,0,10.0,1.0,0.0001,100.0,2.6960586329290233,1.443249039749925,106.54936825115684,41,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+02"
weak_penalty,10,0,10.0,1.0,0.0001,1000.0,2.873680699018354,1.4474061997403969,106.95243563537583,42,"m=1e+01, pde=1e+00, reg=1e-04, bc=1e+03"
weak_penalty,10,0,10.0,1.0,0.01,10.0,0.1817305208875363,1.3553739440762904,108.12946476295554,43,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+01"
weak_penalty,10,0,10.0,1.0,0.01,100.0,0.18235913937621423,1.1586689258071043,88.3623934524786,44,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+02"
weak_penalty,10,0,10.0,1.0,0.01,1000.0,2.8262151622849423,1.8845879148739353,157.33814249484155,45,"m=1e+01, pde=1e+00, reg=1e-02, bc=1e+03"
weak_penalty,10,0,10.0,10.0,1e-06,10.0,4.221151628079903,1.4437508021561556,106.73674849840401,46,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+01"
weak_penalty,10,0,10.0,10.0,1e-06,100.0,2.751551097143655,1.3609517566382505,99.05493547147593,47,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+02"
weak_penalty,10,0,10.0,10.0,1e-06,1000.0,2.7773835634981463,1.4277103345522664,105.59741336206052,48,"m=1e+01, pde=1e+01, reg=1e-06, bc=1e+03"
weak_penalty,10,0,10.0,10.0,0.0001,10.0,4.670455435316625,1.3750499091309911,100.43093841545183,49,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+01"
weak_penalty,10,0,10.0,10.0,0.0001,100.0,1.627256526659116,1.4398112623003498,107.10253363731725,50,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+02"
weak_penalty,10,0,10.0,10.0,0.0001,1000.0,2.3000680073693767,1.3778438932242896,100.06324506224144,51,"m=1e+01, pde=1e+01, reg=1e-04, bc=1e+03"
weak_penalty,10,0,10.0,10.0,0.01,10.0,1.628542920386651,1.326831917306407,95.81733131305211,52,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+01"
weak_penalty,10,0,10.0,10.0,0.01,100.0,2.250117576640964,1.405480045068488,102.92960952633275,53,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+02"
weak_penalty,10,0,10.0,10.0,0.01,1000.0,3.310722137577155,1.4697400987862412,109.0097938227918,54,"m=1e+01, pde=1e+01, reg=1e-02, bc=1e+03"
weak_penalty,10,0,100.0,0.1,1e-06,10.0,4.473317291107944,1.4044558784174654,103.30362720657018,55,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+01"
weak_penalty,10,0,100.0,0.1,1e-06,100.0,2.626509403090438,1.4202182024017773,104.25584783270105,56,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+02"
weak_penalty,10,0,100.0,0.1,1e-06,1000.0,1.2878446937185986,1.4233333307158247,105.30980743442927,57,"m=1e+02, pde=1e-01, reg=1e-06, bc=1e+03"
weak_penalty,10,0,100.0,0.1,0.0001,10.0,3.8454472253049423,1.4535850738167393,108.32011746257173,58,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+01"
weak_penalty,10,0,100.0,0.1,0.0001,100.0,4.797710093819873,1.3832480712208304,101.2100019430202,59,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+02"
weak_penalty,10,0,100.0,0.1,0.0001,1000.0,3.0866456681877676,1.42114482536965,104.87179220133353,60,"m=1e+02, pde=1e-01, reg=1e-04, bc=1e+03"
weak_penalty,10,0,100.0,0.1,0.01,10.0,0.16465446292391422,0.9102396080311121,69.43066647895694,61,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+01"
weak_penalty,10,0,100.0,0.1,0.01,100.0,0.16468818081727019,0.9106242377176202,69.47943382842622,62,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+02"
weak_penalty,10,0,100.0,0.1,0.01,1000.0,0.164691567762822,0.9106590901379285,69.48503050484153,63,"m=1e+02, pde=1e-01, reg=1e-02, bc=1e+03"
weak_penalty,10,0,100.0,1.0,1e-06,10.0,4.826902832054604,1.4638586428556186,108.84788698327549,64,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+01"
weak_penalty,10,0,100.0,1.0,1e-06,100.0,101.44601000982514,1.3893289418151538,101.26896686694289,65,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+02"
weak_penalty,10,0,100.0,1.0,1e-06,1000.0,3.412570873941206,1.4358921070488302,106.14958372014654,66,"m=1e+02, pde=1e+00, reg=1e-06, bc=1e+03"
weak_penalty,10,0,100.0,1.0,0.0001,10.0,1.6139112624775194,1.391286940087315,101.35988122416863,67,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+01"
weak_penalty,10,0,100.0,1.0,0.0001,100.0,1.3974748958836782,1.3672517388148495,99.68282384460848,68,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+02"
weak_penalty,10,0,100.0,1.0,0.0001,1000.0,4.324114372391,1.349491605956286,98.26757185851399,69,"m=1e+02, pde=1e+00, reg=1e-04, bc=1e+03"
weak_penalty,10,0,100.0,1.0,0.01,10.0,0.1828703582049722,1.0645778663303611,81.33405978615572,70,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+01"
weak_penalty,10,0,100.0,1.0,0.01,100.0,0.1850778271951211,1.381638879370014,111.30049070640298,71,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+02"
weak_penalty,10,0,100.0,1.0,0.01,1000.0,0.31441956868516185,1.1893673047949735,88.46607955149629,72,"m=1e+02, pde=1e+00, reg=1e-02, bc=1e+03"
weak_penalty,10,0,100.0,10.0,1e-06,10.0,1.3410441889753688,1.3736077222877983,100.9876609617177,73,"m=1e+02, pde=1e+01, reg=1e-06, bc=1e+01"
weak_penalty,10,0,100.0,10.0,1e-06,100.0,0.845969399552587,1.3936591858393204,102.45273787127353,74,"m=1e+02, pde=1e+01, reg=1e-06, bc=1e+02"
weak_penalty,10,0,100.0,10.0,1e-06,1000.0,0.5722775079530085,1.3480486767030464,97.87636306764384,75,"m=1e+02, pde=1e+01, reg=1e-06, bc=1e+03"
weak_penalty,10,0,100.0,10.0,0.0001,10.0,268.63790480630064,1.4327958968391832,105.1950168662016,76,"m=1e+02, pde=1e+01, reg=1e-04, bc=1e+01"
weak_penalty,10,0,100.0,10.0,0.0001,100.0,1.241359312867724,1.3631454094298285,99.6270554192679,77,"m=1e+02, pde=1e+01, reg=1e-04, bc=1e+02"
weak_penalty,10,0,100.0,10.0,0.0001,1000.0,2.33851602213539,1.3839664927864026,101.61573037205059,78,"m=1e+02, pde=1e+01, reg=1e-04, bc=1e+03"
