solver,num_measurements,config_id,config_label,misfit,pde_err,reg,boundary,mean_relative_l2_error,std_relative_l2_error,count
linear_least_squares,10,73,"m=1e+02, pde=1e+01, reg=1e-06, bc=1e+01",100.0,10.0,1e-06,10.0,0.9140222762772997,0.06670732920410971,3
linear_least_squares,10,74,"m=1e+02, pde=1e+01, reg=1e-06, bc=1e+02",100.0,10.0,1e-06,100.0,0.9368117562199457,0.01766448054509015,3
linear_least_squares,10,75,"m=1e+02, pde=1e+01, reg=1e-06, bc=1e+03",100.0,10.0,1e-06,1000.0,0.948978289028116,0.009383667404135832,3
linear_least_squares,10,76,"m=1e+02, pde=1e+01, reg=1e-04, bc=1e+01",100.0,10.0,0.0001,10.0,0.897215546762192,0.06212692937831942,3
linear_least_squares,10,77,"m=1e+02, pde=1e+01, reg=1e-04, bc=1e+02",100.0,10.0,0.0001,100.0,0.9003806167723202,0.05866604249968318,3
linear_least_squares,10,78,"m=1e+02, pde=1e+01, reg=1e-04, bc=1e+03",100.0,10.0,0.0001,1000.0,0.907277068816391,0.053153546079026226,3
linear_least_squares,10,79,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+01",100.0,10.0,0.01,10.0,0.9171667378949219,0.051707174663690396,3
linear_least_squares,10,80,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+02",100.0,10.0,0.01,100.0,0.9209872541302152,0.048512027481655735,3
linear_least_squares,10,81,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+03",100.0,10.0,0.01,1000.0,0.9237191619552517,0.04562623213860597,3
linear_least_squares,25,1,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+01",1.0,0.1,1e-06,10.0,0.7590574956361017,0.10394422256542991,3
linear_least_squares,25,2,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+02",1.0,0.1,1e-06,100.0,0.7596400166272147,0.1046467294656292,3
linear_least_squares,25,3,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+03",1.0,0.1,1e-06,1000.0,0.7661762833393753,0.11265844313184695,3
linear_least_squares,25,4,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+01",1.0,0.1,0.0001,10.0,0.8127559570687662,0.08258985822653138,3
linear_least_squares,25,5,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+02",1.0,0.1,0.0001,100.0,0.8127851166834222,0.0826692336163065,3
linear_least_squares,25,6,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+03",1.0,0.1,0.0001,1000.0,0.8127574169802602,0.08303475904527262,3
linear_least_squares,25,7,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+01",1.0,0.1,0.01,10.0,0.8733501857766867,0.06792892960209435,3
linear_least_squares,25,8,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+02",1.0,0.1,0.01,100.0,0.8742171250743401,0.06777509967855075,3
linear_least_squares,25,9,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+03",1.0,0.1,0.01,1000.0,0.8742971725301857,0.06775436729475946,3
linear_least_squares,25,10,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+01",1.0,1.0,1e-06,10.0,0.7125175609022759,0.10245996917068181,3
linear_least_squares,25,11,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+02",1.0,1.0,1e-06,100.0,0.7136958931516286,0.10175485324583898,3
linear_least_squares,25,12,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+03",1.0,1.0,1e-06,1000.0,0.7173410187632369,0.1010923512563281,3
linear_least_squares,25,13,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+01",1.0,1.0,0.0001,10.0,0.7975169199027766,0.08887498073621496,3
linear_least_squares,25,14,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+02",1.0,1.0,0.0001,100.0,0.7975764503255213,0.08891711318326033,3
linear_least_squares,25,15,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+03",1.0,1.0,0.0001,1000.0,0.7976730418379755,0.08895709915268704,3
linear_least_squares,25,16,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+01",1.0,1.0,0.01,10.0,0.8714995885002912,0.06863510115807699,3
linear_least_squares,25,17,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+02",1.0,1.0,0.01,100.0,0.8724861656852984,0.06842243088549273,3
linear_least_squares,25,18,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+03",1.0,1.0,0.01,1000.0,0.8725962947923183,0.06838795806158728,3
linear_least_squares,25,19,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+01",1.0,10.0,1e-06,10.0,0.7301485212034059,0.05187884559051695,3
linear_least_squares,25,20,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+02",1.0,10.0,1e-06,100.0,0.72276095374836,0.05672704575100451,3
linear_least_squares,25,21,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+03",1.0,10.0,1e-06,1000.0,0.730778599951003,0.06455444257610046,3
linear_least_squares,25,22,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+01",1.0,10.0,0.0001,10.0,0.7611900997471363,0.10327508437367837,3
linear_least_squares,25,23,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+02",1.0,10.0,0.0001,100.0,0.7613677405282915,0.10319985631249408,3
linear_least_squares,25,24,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+03",1.0,10.0,0.0001,1000.0,0.7616445620022025,0.1028819884562754,3
linear_least_squares,25,25,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+01",1.0,10.0,0.01,10.0,0.8696766827518245,0.0684376585582621,3
linear_least_squares,25,26,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+02",1.0,10.0,0.01,100.0,0.8713633013438519,0.06780233015919042,3
linear_least_squares,25,27,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+03",1.0,10.0,0.01,1000.0,0.8715424252092879,0.06773625751089474,3
linear_least_squares,25,28,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+01",10.0,0.1,1e-06,10.0,0.7593357021167515,0.10430748241947756,3
linear_least_squares,25,29,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+02",10.0,0.1,1e-06,100.0,0.7640434940058668,0.10953355099639944,3
linear_least_squares,25,30,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+03",10.0,0.1,1e-06,1000.0,0.8015344832781907,0.12975705163129497,3
